row_id,num_sold
26298,483
26299,910
26300,227
26301,841
26302,1338
26303,361
26304,721
26305,1130
26306,422
26307,1393
26308,2314
26309,567
26310,567
26311,983
26312,251
26313,987
26314,1449
26315,387
26316,483
26317,910
26318,227
26319,841
26320,1338
26321,361
26322,721
26323,1130
26324,422
26325,1393
26326,2314
26327,567
26328,567
26329,983
26330,251
26331,987
26332,1449
26333,387
26334,483
26335,910
26336,227
26337,841
26338,1338
26339,361
26340,721
26341,1130
26342,422
26343,1393
26344,2314
26345,567
26346,567
26347,983
26348,251
26349,987
26350,1449
26351,387
26352,483
26353,910
26354,227
26355,841
26356,1338
26357,361
26358,721
26359,1130
26360,422
26361,1393
26362,2314
26363,567
26364,567
26365,983
26366,251
26367,987
26368,1449
26369,387
26370,483
26371,910
26372,227
26373,841
26374,1338
26375,361
26376,721
26377,1130
26378,422
26379,1393
26380,2314
26381,567
26382,567
26383,983
26384,251
26385,987
26386,1449
26387,387
26388,483
26389,910
26390,227
26391,841
26392,1338
26393,361
26394,721
26395,1130
26396,422
26397,1393
26398,2314
26399,567
26400,567
26401,983
26402,251
26403,987
26404,1449
26405,387
26406,483
26407,910
26408,227
26409,841
26410,1338
26411,361
26412,721
26413,1130
26414,422
26415,1393
26416,2314
26417,567
26418,567
26419,983
26420,251
26421,987
26422,1449
26423,387
26424,483
26425,910
26426,227
26427,841
26428,1338
26429,361
26430,721
26431,1130
26432,422
26433,1393
26434,2314
26435,567
26436,567
26437,983
26438,251
26439,987
26440,1449
26441,387
26442,483
26443,910
26444,227
26445,841
26446,1338
26447,361
26448,721
26449,1130
26450,422
26451,1393
26452,2314
26453,567
26454,567
26455,983
26456,251
26457,987
26458,1449
26459,387
26460,483
26461,910
26462,227
26463,841
26464,1338
26465,361
26466,721
26467,1130
26468,422
26469,1393
26470,2314
26471,567
26472,567
26473,983
26474,251
26475,987
26476,1449
26477,387
26478,483
26479,910
26480,227
26481,841
26482,1338
26483,361
26484,721
26485,1130
26486,422
26487,1393
26488,2314
26489,567
26490,567
26491,983
26492,251
26493,987
